,host_name,calculated_host_listings_count_entire_homes,neighbourhood_cleansed,latitude,longitude
129,Stavros,5,ΝΕΟΣ ΚΟΣΜΟΣ,37.9593,23.72932
130,Nikos,14,ΑΜΠΕΛΟΚΗΠΟΙ,37.98895,23.76657
131,Goldally,30,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99790429999999,23.7256515
132,Co And Living,7,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9850273,23.7410269
133,Emmanuela,20,ΙΛΙΣΙΑ,37.97531,23.75318
134,Fire,4,ΝΕΑ ΚΥΨΕΛΗ,38.00082,23.74711
135,Loukas,40,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99207,23.72907
136,Angela And Akis,3,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98312,23.73202
137,Tourigo,14,ΣΤΑΔΙΟ,37.9651802,23.7439683
138,Taleb,3,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9771,23.73008
139,C W,11,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98300133545407,23.731491398394915
140,Lucas,15,ΣΤΑΔΙΟ,37.9666843,23.7426116
141,Αριστειδης,33,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00485406368016,23.72830158604036
142,Maria,5,ΚΟΛΩΝΑΚΙ,37.97625,23.74273
143,Athens Boutique Residence,11,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98723,23.7380154
144,Gianttrip,30,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9845976,23.7366524
145,Leonidas,22,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96604,23.72423
146,Old,8,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97751,23.72849
147,Pan,3,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96639,23.7264
148,G,15,ΝΙΡΒΑΝΑ,38.01372878225484,23.72107237103495
149,Giorgos,4,ΝΙΡΒΑΝΑ,38.00373,23.726
150,Shading Blue,3,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97384,23.72699
151,MyGreekVacations,19,ΘΗΣΕΙΟ,37.97522,23.71378
152,Segal Group,19,ΑΝΩ ΚΥΨΕΛΗ,38.00316,23.736
153,Raise Team,42,ΝΕΟΣ ΚΟΣΜΟΣ,37.96581,23.72949
154,Sunny,9,ΝΙΡΒΑΝΑ,38.01222,23.72459
155,Evan&Anetta,68,ΘΗΣΕΙΟ,37.977501,23.722305
156,Ioannis,3,ΖΑΠΠΕΙΟ,37.9677144,23.7327074
157,Konstantinos,20,ΑΚΡΟΠΟΛΗ,37.97005,23.72569
158,Dropebnb,49,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9849676,23.7375067
159,Steven,3,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.973045,23.726326
160,Manolis,7,ΘΗΣΕΙΟ,37.97481,23.71539
161,AthINN,9,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.977795,23.728117
162,George,57,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97091,23.73113
163,Ioannis,8,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.00178,23.72536
164,Βαρσάμης,3,ΝΕΟΣ ΚΟΣΜΟΣ,37.9576015,23.7335083
165,Stella And Nikos,25,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97355,23.7346
166,Antonia,12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97578,23.72867
167,WSD Home Inn,27,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9854,23.72426
168,Elia Didotou,18,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98376349121741,23.73634638301253
169,Lydia,4,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98753886398147,23.73499579953659
170,VKbnb,11,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9846011,23.7333197
171,Ευστρατιος,5,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98449,23.73247
172,Sunny Home,15,ΘΗΣΕΙΟ,37.9745,23.71696
173,Toni,47,ΘΗΣΕΙΟ,37.97615,23.71609
174,Yannis & Tax,14,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97439,23.73371
175,Ipelhome,6,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.971527099609375,23.73163414001465
176,Hestia,40,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.99077606201172,23.736297607421875
177,Loukas,40,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98799,23.73046
178,Evelyn,20,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9768634,23.7291254
179,CloudKeys,35,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98917,23.73824
180,Maria & Prokopis,5,ΚΕΡΑΜΕΙΚΟΣ,37.97964477539063,23.72140312194824
181,Ira & Oleg,37,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9895,23.72384
182,Raise Team,42,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97847965537965,23.728557091401655
183,Niki,3,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9813561,23.7250377
